name,_id,run_start_time,run_end_time,status,status_message,add_thermochromic_bipv.facade,add_thermochromic_bipv.switch_t,change_building_location.weather_file_name,create_bar_from_building_type_ratios.wwr,window_pv_reporting.building_area_ft,window_pv_reporting.building_elec_apr,window_pv_reporting.building_elec_aug,window_pv_reporting.building_elec_dec,window_pv_reporting.building_elec_feb,window_pv_reporting.building_elec_jan,window_pv_reporting.building_elec_jul,window_pv_reporting.building_elec_jun,window_pv_reporting.building_elec_mar,window_pv_reporting.building_elec_may,window_pv_reporting.building_elec_nov,window_pv_reporting.building_elec_oct,window_pv_reporting.building_elec_sep,window_pv_reporting.building_gas_apr,window_pv_reporting.building_gas_aug,window_pv_reporting.building_gas_dec,window_pv_reporting.building_gas_feb,window_pv_reporting.building_gas_jan,window_pv_reporting.building_gas_jul,window_pv_reporting.building_gas_jun,window_pv_reporting.building_gas_mar,window_pv_reporting.building_gas_may,window_pv_reporting.building_gas_nov,window_pv_reporting.building_gas_oct,window_pv_reporting.building_gas_sep,window_pv_reporting.capacity_factor,window_pv_reporting.light_energy_apr,window_pv_reporting.light_energy_aug,window_pv_reporting.light_energy_dec,window_pv_reporting.light_energy_feb,window_pv_reporting.light_energy_jan,window_pv_reporting.light_energy_jul,window_pv_reporting.light_energy_jun,window_pv_reporting.light_energy_mar,window_pv_reporting.light_energy_may,window_pv_reporting.light_energy_nov,window_pv_reporting.light_energy_oct,window_pv_reporting.light_energy_sep,window_pv_reporting.panel_dc_gen_apr,window_pv_reporting.panel_dc_gen_aug,window_pv_reporting.panel_dc_gen_dec,window_pv_reporting.panel_dc_gen_feb,window_pv_reporting.panel_dc_gen_jan,window_pv_reporting.panel_dc_gen_jul,window_pv_reporting.panel_dc_gen_jun,window_pv_reporting.panel_dc_gen_mar,window_pv_reporting.panel_dc_gen_may,window_pv_reporting.panel_dc_gen_nov,window_pv_reporting.panel_dc_gen_oct,window_pv_reporting.panel_dc_gen_sep,window_pv_reporting.total_electricity,window_pv_reporting.total_electricity_cooling,window_pv_reporting.total_electricity_heating,window_pv_reporting.total_electricity_lighting,window_pv_reporting.total_gas,window_pv_reporting.total_gas_heating,window_pv_reporting.total_pv
DOE Autogenerated 177,0006a62c-95b1-4cf0-822a-846a79aadfdd,2020-06-30T21:35:33.940Z,2020-06-30T21:40:05.315Z,completed,completed normal,W,30.0,SAU_Riyadh.404380_IWEC.epw,0.65,53633.0,145.46,215.84,123.33,119.99,125.68,206.85,199.27,142.38,185.1,141.03,164.29,185.02,6.59,6.15,7.95,7.16,8.3,5.82,5.88,7.68,6.52,7.29,6.96,6.19,0.403519,28.49,34.24,27.43,26.13,28.09,32.13,33.01,30.26,33.64,28.85,30.89,31.23,13.28,18.08,6.77,9.95,7.79,18.32,18.53,12.35,17.97,9.59,14.91,16.58,1954.22998,582.669983,0.0,364.390015,82.510002,5.12,164.109866
DOE Autogenerated 151,00750fc2-190d-41a9-bcb2-59b95d2ed2b2,2020-06-30T21:32:29.972Z,2020-06-30T21:36:45.641Z,completed,completed normal,E,5.0,SAU_Riyadh.404380_IWEC.epw,0.65,53633.0,144.02,215.48,121.73,117.55,122.99,206.22,198.53,140.5,184.22,139.71,163.66,184.74,6.6,6.15,8.32,7.34,8.87,5.8,5.89,7.6,6.53,7.26,6.94,6.19,0.469698,31.05,34.74,31.69,29.92,32.34,32.51,33.41,34.69,34.83,32.16,33.23,32.31,17.1,18.74,10.38,13.13,13.54,19.36,18.87,15.26,18.11,12.34,16.53,17.65,1939.359985,547.150024,0.0,392.869995,83.480003,6.09,191.024581
DOE Autogenerated 77,00e4a3b4-cb27-4a8d-a8b6-214f57ded7b4,2020-06-30T21:25:33.513Z,2020-06-30T21:28:26.443Z,completed,completed normal,W,30.0,USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,0.4,53633.0,95.57,112.07,120.52,103.18,120.5,113.9,109.65,109.14,104.07,115.45,108.68,99.55,21.94,9.75,152.18,97.25,145.96,9.43,9.71,66.8,10.58,121.88,47.36,10.95,0.085929,25.93,29.24,32.77,27.77,32.87,27.68,28.31,29.65,29.04,31.78,29.66,27.35,2.52,3.5,0.0,0.04,0.01,4.72,5.56,0.14,3.92,0.02,0.06,1.0,1312.290039,38.57,0.0,352.049988,703.799988,587.97998,21.505884
DOE Autogenerated 247,0156e337-4727-4e77-94a5-835596c2da28,2020-06-30T21:41:40.531Z,2020-06-30T21:45:32.488Z,completed,completed normal,W,50.0,USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,0.65,53633.0,109.87,131.55,143.97,121.76,142.96,139.76,131.4,126.67,121.17,136.13,124.73,112.4,17.52,9.71,158.95,86.51,144.61,9.43,9.71,50.19,10.41,114.85,37.1,10.58,0.007382,24.84,27.67,32.55,27.0,32.37,25.58,26.14,28.66,27.44,31.04,28.72,26.3,0.48,0.37,0.0,0.07,0.01,0.51,0.51,0.22,0.48,0.04,0.09,0.22,1542.359985,61.709999,0.02,338.309998,659.580017,543.76001,3.002072
DOE Autogenerated 90,038adaa5-f9e0-4f6d-a350-5180f7f85016,2020-06-30T21:28:26.884Z,2020-06-30T21:32:15.724Z,completed,completed normal,ESW,40.0,USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,0.4,53633.0,97.85,116.18,124.08,106.12,124.05,118.79,114.17,111.89,107.71,118.71,111.25,101.86,22.94,9.76,149.83,99.52,145.45,9.43,9.72,73.77,10.7,122.89,51.22,10.98,0.047966,25.79,28.85,32.77,27.77,32.87,26.89,27.44,29.65,28.61,31.78,29.65,27.28,3.02,8.39,0.03,0.39,0.12,11.53,8.54,0.89,6.92,0.19,0.45,1.55,1352.670044,45.529999,0.01,349.329987,716.210022,600.390015,42.016681
DOE Autogenerated 348,03ae7474-0b70-4f59-bb3a-f4b70f8a83fc,2020-06-30T21:51:55.368Z,2020-06-30T21:57:40.339Z,completed,completed normal,S,50.0,SAU_Riyadh.404380_IWEC.epw,0.9,53633.0,181.65,264.82,151.75,150.12,157.16,256.31,245.45,175.8,229.41,176.37,206.75,230.94,6.71,6.29,8.06,7.32,8.44,5.98,6.04,7.75,6.65,7.44,7.06,6.27,0.053676,24.68,27.74,26.59,24.65,27.18,25.86,26.49,27.8,27.55,27.18,27.18,26.01,0.79,1.57,2.28,1.32,2.32,0.54,0.48,1.16,0.6,11.97,16.87,5.44,2426.530029,904.26001,0.0,318.910004,84.010002,6.62,45.338855
DOE Autogenerated 154,03c8beab-6d01-43b0-9a50-9aca32c14003,2020-06-30T21:32:35.378Z,2020-06-30T21:36:59.281Z,completed,completed normal,N,5.0,SAU_Riyadh.404380_IWEC.epw,0.65,53633.0,144.02,215.48,121.73,117.55,122.99,206.22,198.53,140.5,184.22,139.71,163.66,184.74,6.6,6.15,8.32,7.34,8.87,5.8,5.89,7.6,6.53,7.26,6.94,6.19,0.215297,31.05,34.74,31.69,29.92,32.34,32.51,33.41,34.69,34.83,32.16,33.23,32.31,11.72,12.54,6.89,8.28,7.65,15.86,16.65,10.29,14.66,7.81,8.86,10.16,1939.359985,547.150024,0.0,392.869995,83.480003,6.09,131.340407
DOE Autogenerated 270,042146b2-cce8-4c68-aeff-3a22953088e7,2020-06-30T21:44:46.585Z,2020-06-30T21:48:02.887Z,completed,completed normal,ESW,20.0,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,0.65,53633.0,107.14,149.1,106.66,99.26,108.64,135.07,121.99,112.38,114.91,114.32,120.67,137.33,7.28,7.76,8.29,7.29,8.3,7.38,7.34,8.07,7.72,7.63,7.57,7.35,0.452666,29.77,34.65,29.51,28.02,29.88,32.23,32.93,32.4,33.83,31.25,31.91,32.14,54.89,58.05,52.31,48.8,50.39,54.13,48.53,54.97,48.92,57.26,56.61,59.49,1427.439941,152.160004,0.0,378.519989,91.980003,2.53,644.3392
DOE Autogenerated 170,043f82fe-1e77-41db-8a42-feeaa1eacd9c,2020-06-30T21:34:50.165Z,2020-06-30T21:39:13.496Z,completed,completed normal,ESW,20.0,SAU_Riyadh.404380_IWEC.epw,0.65,53633.0,144.22,215.48,121.09,117.53,122.97,206.22,198.53,140.41,184.21,140.08,163.72,184.74,6.59,6.15,8.04,7.18,8.45,5.8,5.89,7.59,6.53,7.25,6.94,6.19,0.477897,30.65,34.74,29.16,28.37,30.13,32.51,33.41,33.47,34.83,31.66,33.05,32.31,51.27,55.41,50.9,56.06,60.49,51.34,49.68,57.94,52.05,61.85,71.41,61.84,1939.199951,554.340027,0.0,384.290009,82.589996,5.2,680.253983
DOE Autogenerated 94,04970ba0-bf18-4cf3-81c7-2b9ded0dbc61,2020-06-30T21:28:41.921Z,2020-06-30T21:32:37.824Z,completed,completed normal,N,45.0,USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,0.4,53633.0,100.0,119.3,127.39,108.84,127.42,122.48,117.33,114.46,110.57,121.75,113.65,103.8,22.49,9.72,146.47,96.69,141.38,9.44,9.72,71.94,10.59,119.44,49.37,10.84,0.004272,25.77,28.77,32.77,27.77,32.87,26.69,27.23,29.65,28.52,31.78,29.65,27.27,0.17,0.2,0.0,0.03,0.01,0.3,0.34,0.1,0.28,0.02,0.05,0.1,1386.98999,48.93,0.01,348.720001,698.080017,582.26001,1.60368
DOE Autogenerated 39,049dec8d-7fce-422c-9209-00f94cb97ae8,2020-06-30T21:20:57.620Z,2020-06-30T21:25:58.874Z,completed,completed normal,N,40.0,SAU_Riyadh.404380_IWEC.epw,0.4,53633.0,140.86,203.25,122.52,118.59,125.18,195.26,188.4,139.38,176.46,137.72,157.44,175.76,6.6,6.11,7.8,7.16,8.07,5.78,5.86,7.69,6.48,7.37,6.92,6.18,0.038872,26.53,32.42,28.04,26.31,28.72,29.56,29.38,29.68,30.02,29.16,29.72,28.9,0.25,3.79,0.12,0.15,0.14,4.31,3.54,0.19,1.48,0.14,0.16,0.32,1880.810059,547.22998,0.0,348.410004,82.019997,4.63,14.592989
DOE Autogenerated 31,0556954f-4656-4597-a136-4ccfbea54127,2020-06-30T21:20:56.510Z,2020-06-30T21:25:27.087Z,completed,completed normal,E,35.0,SAU_Riyadh.404380_IWEC.epw,0.4,53633.0,138.5,201.53,120.34,116.29,122.53,193.24,186.63,136.95,174.09,135.8,155.65,173.75,6.58,6.1,7.8,7.12,8.05,5.76,5.85,7.7,6.49,7.36,6.91,6.15,0.323912,27.41,33.79,28.19,26.68,28.9,31.65,32.29,30.33,32.42,29.49,30.62,30.99,7.33,10.97,0.7,2.68,1.22,11.47,11.1,4.11,9.74,3.66,7.95,10.13,1855.300049,519.049988,0.0,362.779999,81.870003,4.48,81.066693
DOE Autogenerated 313,06e12d68-2cc4-45b8-8488-4791298823a3,2020-06-30T21:48:03.120Z,2020-06-30T21:53:02.013Z,completed,completed normal,S,15.0,SAU_Riyadh.404380_IWEC.epw,0.9,53633.0,150.05,227.95,124.47,120.71,126.08,218.46,209.61,145.14,193.97,144.43,171.3,194.99,6.63,6.17,8.59,7.49,9.24,5.83,5.91,7.62,6.53,7.27,6.96,6.22,0.513213,30.96,34.64,30.51,28.98,31.02,32.4,33.29,34.27,34.67,31.72,32.97,32.22,26.76,25.19,46.69,44.08,53.5,18.34,16.23,39.08,20.53,52.92,52.95,37.24,2027.150024,606.219971,0.0,387.649994,84.459999,7.07,433.497802
DOE Autogenerated 240,0863f58c-2914-400e-ab7e-80b8fdef491e,2020-06-30T21:41:21.859Z,2020-06-30T21:45:22.592Z,completed,completed normal,ESW,40.0,USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,0.65,53633.0,101.19,121.08,131.42,111.23,130.52,126.68,121.03,116.1,112.27,124.66,115.12,104.7,23.09,9.77,177.88,113.79,170.32,9.43,9.71,77.4,10.58,144.15,56.99,11.66,0.049249,24.85,27.72,32.55,27.0,32.37,25.68,26.23,28.66,27.48,31.04,28.72,26.31,5.08,13.92,0.05,0.64,0.19,18.97,14.24,1.45,11.79,0.31,0.79,2.67,1415.98999,53.709999,0.05,338.600006,814.77002,698.950012,70.103351
DOE Autogenerated 196,095874d8-c341-4772-8ad6-cbf745d0c8ec,2020-06-30T21:36:56.000Z,2020-06-30T21:41:40.281Z,completed,completed normal,E,50.0,SAU_Riyadh.404380_IWEC.epw,0.65,53633.0,165.21,239.27,140.42,137.6,144.46,230.96,221.47,161.06,208.01,162.0,188.37,209.22,6.66,6.23,7.89,7.22,8.19,5.91,5.97,7.72,6.59,7.4,7.01,6.26,0.099458,25.17,28.3,27.05,25.1,27.66,26.4,27.07,28.33,28.13,27.7,27.66,26.48,0.95,8.74,0.31,0.39,0.4,8.78,8.0,0.45,3.96,0.36,1.44,6.69,2208.030029,761.460022,0.0,325.049988,83.050003,5.66,40.449091
DOE Autogenerated 72,0a125c61-f5b5-423c-92f0-e10991d65dc0,2020-06-30T21:25:26.611Z,2020-06-30T21:29:17.957Z,completed,completed normal,W,25.0,USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,0.4,53633.0,94.87,111.69,120.12,102.79,120.06,113.34,109.11,108.71,103.61,115.01,108.18,98.93,24.91,9.77,153.88,102.58,149.38,9.43,9.71,77.35,10.78,126.08,54.06,11.42,0.116094,26.07,29.98,32.77,27.78,32.87,29.12,29.53,29.68,29.44,31.78,29.67,27.47,3.89,4.55,0.0,0.04,0.01,6.26,7.18,0.14,5.41,0.02,0.08,1.46,1306.410034,34.200001,0.0,356.160004,739.369995,623.549988,29.055416
DOE Autogenerated 260,0a7220ba-1150-437c-ac8b-2c3d0835e5eb,2020-06-30T21:43:36.027Z,2020-06-30T21:46:45.193Z,completed,completed normal,ESW,10.0,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,0.65,53633.0,107.89,149.12,108.38,100.51,110.86,135.25,122.34,114.03,115.48,114.93,121.13,137.31,7.29,7.76,8.49,7.36,8.49,7.38,7.35,8.14,7.7,7.64,7.56,7.36,0.470552,31.02,34.74,31.57,29.67,32.47,32.58,33.5,34.49,34.87,32.29,32.74,32.3,57.55,58.15,56.0,52.04,54.75,54.68,49.43,59.11,51.24,59.25,57.85,59.76,1437.22998,149.110001,0.0,392.23999,92.519997,3.07,669.799481
DOE Autogenerated 228,0a89943d-064d-41ae-bf09-91b4b480e261,2020-06-30T21:40:47.106Z,2020-06-30T21:44:33.368Z,completed,completed normal,S,30.0,USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,0.65,53633.0,97.11,114.71,125.52,106.37,124.7,118.92,113.66,111.5,106.57,119.23,110.86,100.74,24.66,9.81,183.68,117.86,175.59,9.42,9.7,80.4,10.59,149.11,59.9,12.03,0.176202,24.92,27.99,32.55,27.0,32.37,26.3,26.85,28.66,27.7,31.04,28.72,26.34,15.96,18.9,0.04,0.44,0.15,19.76,18.59,2.92,18.65,0.23,2.36,9.48,1349.890015,43.889999,0.04,340.429993,842.75,726.929993,107.490774
DOE Autogenerated 287,0a8c9c02-ac89-41f8-8b64-22c55c16f6a8,2020-06-30T21:45:32.154Z,2020-06-30T21:49:01.862Z,completed,completed normal,W,40.0,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,0.65,53633.0,114.46,161.63,112.0,104.75,114.4,146.7,130.86,119.41,122.22,121.69,130.59,147.94,7.32,7.87,8.1,7.27,8.14,7.48,7.38,8.08,7.76,7.63,7.61,7.43,0.144093,25.25,28.14,27.41,25.23,28.02,26.25,26.88,28.48,28.01,28.03,27.62,26.72,6.66,10.3,0.3,0.86,0.63,11.13,6.96,3.38,5.46,1.41,3.0,8.52,1526.640015,237.139999,0.0,326.040009,92.050003,2.6,58.60194
DOE Autogenerated 436,0ae27e34-9f85-4d24-9717-0b68746e94b5,2020-06-30T22:00:29.403Z,2020-06-30T22:03:20.424Z,completed,completed normal,E,40.0,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,0.9,53633.0,118.63,171.48,114.09,107.13,116.63,155.12,136.41,122.53,125.94,125.45,136.49,156.6,7.29,7.84,8.29,7.28,8.2,7.46,7.35,8.06,7.73,7.62,7.6,7.45,0.099815,24.76,27.59,26.97,24.77,27.54,25.7,26.33,27.95,27.44,27.55,27.07,26.23,7.68,9.8,0.4,1.21,0.47,8.6,7.35,3.04,4.17,2.02,3.27,8.2,1586.51001,265.049988,0.0,319.890015,92.160004,2.71,56.207416
DOE Autogenerated 355,0afe8fd0-2bcb-4bfb-80c9-fb79a547acf7,2020-06-30T21:52:29.880Z,2020-06-30T21:56:34.977Z,completed,completed normal,ESW,5.0,USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,0.9,53633.0,102.19,117.09,129.2,110.22,128.14,118.53,113.2,117.17,109.29,122.86,116.55,107.21,30.39,10.01,211.18,123.14,192.37,9.36,9.67,82.09,11.52,159.0,61.43,14.95,0.304274,27.66,33.54,32.45,27.17,32.22,31.53,32.34,29.43,33.32,30.86,30.57,31.32,88.58,79.64,0.09,13.56,1.42,89.07,93.46,51.22,99.49,4.25,26.12,52.81,1391.670044,29.200001,0.11,372.399994,915.099976,799.280029,599.696889
DOE Autogenerated 19,0b079ba7-08e1-4597-99c2-a1266cf271b4,2020-06-30T21:20:54.850Z,2020-06-30T21:25:09.416Z,completed,completed normal,N,20.0,SAU_Riyadh.404380_IWEC.epw,0.4,53633.0,137.59,200.98,118.11,114.13,119.6,192.4,185.62,135.51,173.06,135.27,155.2,172.75,6.59,6.1,7.84,7.09,8.13,5.76,5.85,7.62,6.47,7.3,6.92,6.13,0.19386,30.99,35.06,30.06,29.26,31.08,32.78,33.65,34.05,35.04,32.54,33.5,32.56,6.86,7.72,2.1,3.52,2.22,9.76,10.25,5.48,9.02,4.27,5.32,6.25,1840.22998,485.170013,0.0,390.579987,81.800003,4.41,72.777507
DOE Autogenerated 252,0b16ffc7-fcfc-49cb-9b4e-3c6ed01296fd,2020-06-30T21:42:20.087Z,2020-06-30T21:45:31.945Z,completed,completed normal,W,5.0,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,0.65,53633.0,107.89,149.12,108.45,100.51,110.96,135.25,122.34,114.02,115.48,114.93,121.13,137.31,7.29,7.76,8.59,7.36,8.5,7.38,7.35,8.16,7.7,7.65,7.56,7.36,0.455988,31.02,34.74,31.67,29.68,32.56,32.58,33.5,34.5,34.87,32.3,32.74,32.3,17.2,19.57,10.09,10.9,10.14,21.66,18.97,15.74,18.23,11.59,13.89,17.46,1437.369995,149.059998,0.0,392.450012,92.68,3.23,185.448717
DOE Autogenerated 62,0b2af85c-2263-4e6d-851b-4b73f56abe26,2020-06-30T21:25:18.802Z,2020-06-30T21:28:57.358Z,completed,completed normal,W,15.0,USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,0.4,53633.0,96.03,112.84,119.41,102.65,119.45,113.09,109.31,109.32,105.0,114.57,108.81,100.25,21.99,9.72,148.84,87.22,137.91,9.39,9.69,57.42,10.58,110.29,40.35,10.84,0.185651,26.99,33.49,32.77,27.85,32.87,32.11,33.1,29.84,32.91,31.79,29.98,29.01,7.25,7.05,0.0,0.04,0.01,8.93,10.19,0.87,8.77,0.02,0.34,2.99,1310.73999,30.049999,0.0,372.690002,654.22998,538.409973,46.463611
DOE Autogenerated 347,0ba1dd97-602c-481b-8c25-bb4af4de2b25,2020-06-30T21:51:46.415Z,2020-06-30T21:57:10.508Z,completed,completed normal,W,50.0,SAU_Riyadh.404380_IWEC.epw,0.9,53633.0,181.65,264.82,151.75,150.12,157.16,256.31,245.45,175.8,229.41,176.37,206.75,230.94,6.71,6.29,8.06,7.32,8.44,5.98,6.04,7.75,6.65,7.44,7.06,6.27,0.172904,24.68,27.74,26.59,24.65,27.18,25.86,26.49,27.8,27.55,27.18,27.18,26.01,6.68,16.16,0.47,1.35,0.54,15.38,15.92,2.64,13.51,1.09,9.58,14.02,2426.530029,904.26001,0.0,318.910004,84.010002,6.62,97.365101
DOE Autogenerated 26,0ba46714-5c6c-4e9d-8742-e0e436bcc4d2,2020-06-30T21:20:55.931Z,2020-06-30T21:25:28.153Z,completed,completed normal,E,30.0,SAU_Riyadh.404380_IWEC.epw,0.4,53633.0,137.87,201.17,118.88,114.86,120.56,192.75,186.12,135.86,173.35,135.03,155.12,172.98,6.6,6.09,7.8,7.1,8.06,5.76,5.84,7.67,6.47,7.34,6.91,6.13,0.385702,29.08,34.66,28.48,27.21,29.21,32.47,33.3,31.25,34.11,30.08,31.8,31.79,9.21,11.37,2.39,4.41,3.74,11.75,11.42,6.15,10.81,5.4,9.33,10.57,1844.550049,502.459991,0.0,373.440002,81.760002,4.37,96.53125
DOE Autogenerated 443,0bdb692c-1bdc-4b2f-8a9a-5a1af39368df,2020-06-30T22:00:48.659Z,2020-06-30T22:03:44.111Z,completed,completed normal,S,45.0,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,0.9,53633.0,124.33,180.16,118.52,112.06,121.14,163.07,142.05,127.34,130.56,131.49,145.02,167.11,7.31,7.85,8.26,7.28,8.21,7.46,7.35,8.06,7.74,7.63,7.61,7.46,0.08376,24.64,27.48,26.96,24.75,27.52,25.63,26.26,27.87,27.4,27.5,26.93,25.74,0.98,0.92,13.26,8.61,11.42,0.7,0.63,3.48,0.75,19.7,8.11,2.19,1662.859985,297.859985,0.0,318.660004,92.199997,2.75,70.750119
DOE Autogenerated 387,0ca60318-3cb3-4b8d-b5e6-a2d131468a5b,2020-06-30T21:56:04.308Z,2020-06-30T22:00:01.184Z,completed,completed normal,W,40.0,USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,0.9,53633.0,107.21,127.3,142.13,119.93,140.65,135.71,128.48,124.75,117.37,134.52,122.69,109.95,21.3,9.75,197.7,113.09,180.73,9.4,9.7,69.54,10.46,148.58,53.03,11.97,0.03055,24.34,27.12,32.45,26.68,32.15,25.08,25.62,28.16,26.86,30.72,28.32,25.83,1.13,2.72,0.01,0.1,0.02,4.56,5.5,0.3,2.39,0.05,0.13,0.3,1510.680054,56.68,0.12,333.350006,835.25,719.429993,17.203395
DOE Autogenerated 322,0cb82b19-0029-4929-a4df-2b848e5329d6,2020-06-30T21:48:40.684Z,2020-06-30T21:53:25.372Z,completed,completed normal,W,25.0,SAU_Riyadh.404380_IWEC.epw,0.9,53633.0,150.67,227.95,125.69,122.98,128.17,218.5,209.67,146.05,194.22,145.73,171.79,195.25,6.6,6.17,8.33,7.33,8.75,5.83,5.91,7.63,6.53,7.28,6.97,6.21,0.438104,29.5,34.64,27.51,26.61,28.03,32.38,33.27,31.41,34.4,30.47,31.89,32.06,20.7,25.58,11.64,15.68,13.2,25.93,26.39,19.49,26.19,15.56,22.56,23.78,2036.689941,627.200012,0.0,372.170013,83.529999,6.14,246.703997
DOE Autogenerated 189,0d0a6c7f-501b-42db-8180-51c5ca5b4375,2020-06-30T21:36:02.037Z,2020-06-30T21:41:00.922Z,completed,completed normal,N,40.0,SAU_Riyadh.404380_IWEC.epw,0.65,53633.0,153.88,222.39,130.52,127.74,134.4,214.56,206.92,150.38,193.94,147.34,170.97,192.51,6.65,6.14,7.91,7.2,8.23,5.82,5.88,7.71,6.52,7.38,6.97,6.21,0.040859,25.62,31.72,27.1,25.4,27.74,28.8,28.62,28.68,29.02,27.91,28.57,27.98,0.44,6.5,0.2,0.24,0.23,7.31,6.02,0.3,2.5,0.23,0.26,0.7,2045.550049,660.059998,0.0,337.149994,82.599998,5.21,24.925896
DOE Autogenerated 79,0dcc7019-df23-4d30-9808-39cf29c2773c,2020-06-30T21:25:43.179Z,2020-06-30T21:29:13.005Z,completed,completed normal,N,30.0,USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,0.4,53633.0,95.57,112.07,120.52,103.18,120.5,113.9,109.65,109.14,104.07,115.45,108.68,99.55,21.94,9.75,152.18,97.25,145.96,9.43,9.71,66.8,10.58,121.88,47.36,10.95,0.005174,25.93,29.24,32.77,27.77,32.87,27.68,28.31,29.65,29.04,31.78,29.66,27.35,0.17,0.2,0.0,0.03,0.01,0.55,0.43,0.1,0.28,0.02,0.05,0.1,1312.290039,38.57,0.0,352.049988,703.799988,587.97998,1.942488
DOE Autogenerated 405,0de47eb1-7a22-4f14-a6cb-8f1ba4488d54,2020-06-30T21:57:18.432Z,2020-06-30T22:00:48.719Z,completed,completed normal,ESW,5.0,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,0.9,53633.0,109.59,153.76,109.83,101.64,112.38,138.32,123.71,115.36,116.29,116.56,122.7,141.19,7.34,7.75,9.39,7.67,9.12,7.35,7.32,8.4,7.74,7.79,7.59,7.34,0.470909,30.92,34.62,31.49,29.41,32.36,32.46,33.41,34.27,34.7,32.07,32.38,32.18,79.68,80.51,77.93,72.1,75.92,75.7,68.45,81.88,70.94,82.15,80.1,82.75,1461.319946,153.020004,0.0,390.26001,94.790001,5.35,928.119621
DOE Autogenerated 385,0de629f8-cbd0-4058-82f7-815b8aa832ee,2020-06-30T21:55:51.076Z,2020-06-30T22:00:11.278Z,completed,completed normal,ESW,35.0,USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,0.9,53633.0,102.4,120.91,134.83,113.98,133.51,127.78,121.49,119.07,111.15,127.8,117.53,105.54,22.15,9.77,205.16,117.7,187.82,9.39,9.7,71.44,10.49,155.14,55.65,12.24,0.093012,24.35,27.19,32.45,26.68,32.15,25.25,25.81,28.16,26.92,30.72,28.33,25.84,18.35,32.47,0.07,0.88,0.26,42.12,37.23,2.35,37.44,0.43,2.01,9.69,1435.97998,50.490002,0.13,333.859985,866.669983,750.849976,183.318584
DOE Autogenerated 201,0fa0e9d5-1405-4037-9401-7525e4c728e5,2020-06-30T21:37:18.102Z,2020-06-30T21:41:15.645Z,completed,completed normal,E,5.0,USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,0.65,53633.0,98.5,114.68,123.31,105.3,122.55,115.42,110.83,111.94,107.04,117.42,111.77,103.87,34.18,9.9,186.59,124.07,178.3,9.39,9.7,98.22,11.6,152.29,69.41,14.28,0.295206,28.08,33.83,32.55,27.46,32.43,31.83,32.64,29.85,33.69,31.16,30.84,31.46,14.41,16.62,0.01,0.69,0.03,20.76,21.16,8.86,23.38,0.04,4.04,10.07,1342.650024,27.709999,0.03,375.820007,897.909973,782.090027,120.059343
DOE Autogenerated 415,10dd4d2c-7899-4f57-94d2-c928d2f0a97d,2020-06-30T21:58:10.550Z,2020-06-30T22:01:24.759Z,completed,completed normal,ESW,15.0,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,0.9,53633.0,109.44,153.76,109.08,101.24,111.68,138.32,123.71,114.85,116.29,116.43,122.66,141.19,7.33,7.75,9.08,7.58,8.91,7.35,7.32,8.32,7.73,7.74,7.59,7.34,0.467553,30.7,34.62,30.64,28.89,31.57,32.46,33.41,33.67,34.68,31.75,32.29,32.18,79.25,80.51,76.46,70.96,74.46,75.7,68.45,80.88,70.85,81.36,79.86,82.75,1458.650024,153.610001,0.0,386.859985,94.050003,4.6,921.504629
DOE Autogenerated 236,11a12f69-e1ea-4433-b3d8-d50be4b48013,2020-06-30T21:41:11.109Z,2020-06-30T21:45:17.595Z,completed,completed normal,E,40.0,USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,0.65,53633.0,101.19,121.08,131.42,111.23,130.52,126.68,121.03,116.1,112.27,124.66,115.12,104.7,23.09,9.77,177.88,113.79,170.32,9.43,9.71,77.4,10.58,144.15,56.99,11.66,0.045956,24.85,27.72,32.55,27.0,32.37,25.68,26.23,28.66,27.48,31.04,28.72,26.31,0.47,2.39,0.01,0.12,0.03,6.41,4.36,0.37,4.01,0.04,0.17,0.3,1415.98999,53.709999,0.05,338.600006,814.77002,698.950012,18.690242
