name,_id,run_start_time,run_end_time,status,status_message,add_thermochromic_bipv.facade,add_thermochromic_bipv.switch_t,change_building_location.weather_file_name,create_bar_from_building_type_ratios.wwr,window_pv_reporting.building_area_ft,window_pv_reporting.building_elec_apr,window_pv_reporting.building_elec_aug,window_pv_reporting.building_elec_dec,window_pv_reporting.building_elec_feb,window_pv_reporting.building_elec_jan,window_pv_reporting.building_elec_jul,window_pv_reporting.building_elec_jun,window_pv_reporting.building_elec_mar,window_pv_reporting.building_elec_may,window_pv_reporting.building_elec_nov,window_pv_reporting.building_elec_oct,window_pv_reporting.building_elec_sep,window_pv_reporting.building_gas_apr,window_pv_reporting.building_gas_aug,window_pv_reporting.building_gas_dec,window_pv_reporting.building_gas_feb,window_pv_reporting.building_gas_jan,window_pv_reporting.building_gas_jul,window_pv_reporting.building_gas_jun,window_pv_reporting.building_gas_mar,window_pv_reporting.building_gas_may,window_pv_reporting.building_gas_nov,window_pv_reporting.building_gas_oct,window_pv_reporting.building_gas_sep,window_pv_reporting.capacity_factor,window_pv_reporting.light_energy_apr,window_pv_reporting.light_energy_aug,window_pv_reporting.light_energy_dec,window_pv_reporting.light_energy_feb,window_pv_reporting.light_energy_jan,window_pv_reporting.light_energy_jul,window_pv_reporting.light_energy_jun,window_pv_reporting.light_energy_mar,window_pv_reporting.light_energy_may,window_pv_reporting.light_energy_nov,window_pv_reporting.light_energy_oct,window_pv_reporting.light_energy_sep,window_pv_reporting.panel_dc_gen_apr,window_pv_reporting.panel_dc_gen_aug,window_pv_reporting.panel_dc_gen_dec,window_pv_reporting.panel_dc_gen_feb,window_pv_reporting.panel_dc_gen_jan,window_pv_reporting.panel_dc_gen_jul,window_pv_reporting.panel_dc_gen_jun,window_pv_reporting.panel_dc_gen_mar,window_pv_reporting.panel_dc_gen_may,window_pv_reporting.panel_dc_gen_nov,window_pv_reporting.panel_dc_gen_oct,window_pv_reporting.panel_dc_gen_sep,window_pv_reporting.total_electricity,window_pv_reporting.total_electricity_cooling,window_pv_reporting.total_electricity_heating,window_pv_reporting.total_electricity_lighting,window_pv_reporting.total_gas,window_pv_reporting.total_gas_heating,window_pv_reporting.total_pv
DOE Autogenerated 138,79c54b17-6b00-4fb6-8e5c-432cb9db7558,2020-06-30T21:32:15.941Z,2020-06-30T21:35:30.959Z,completed,completed normal,S,40.0,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,0.4,53633.0,111.91,151.51,110.92,103.54,113.24,138.62,126.99,117.72,120.47,119.33,126.14,139.68,7.45,7.86,8.02,7.29,8.1,7.54,7.49,8.17,7.85,7.71,7.7,7.49,0.182414,26.16,29.23,28.31,26.14,29.0,27.26,27.88,29.46,29.02,28.98,28.72,27.69,1.87,0.58,11.55,9.14,9.47,0.31,0.28,3.55,0.33,13.86,10.15,7.38,1480.060059,222.479996,0.0,337.839996,92.669998,3.23,68.480448
DOE Autogenerated 67,79e3b189-066a-419a-9bd8-ff79d04be269,2020-06-30T21:25:22.898Z,2020-06-30T21:28:58.160Z,completed,completed normal,W,20.0,USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,0.4,53633.0,95.17,111.74,119.39,102.38,119.4,112.63,108.77,108.66,103.65,114.44,108.06,98.98,22.25,9.74,150.75,92.74,142.72,9.41,9.7,62.5,10.58,116.26,43.87,11.04,0.154036,26.31,31.74,32.77,27.81,32.87,30.82,31.77,29.74,30.78,31.78,29.73,27.77,5.77,5.95,0.0,0.04,0.01,7.93,8.96,0.31,7.17,0.02,0.16,2.22,1303.27002,31.280001,0.0,363.880005,681.559998,565.73999,38.551131
DOE Autogenerated 60,79f159b2-f64b-4ddf-87f9-632dc52533bc,2020-06-30T21:25:17.744Z,2020-06-30T21:28:57.681Z,completed,completed normal,ESW,10.0,USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,0.4,53633.0,97.12,113.33,119.41,102.83,119.46,113.23,109.4,109.81,105.99,114.61,109.58,101.77,23.39,9.73,148.84,88.23,138.02,9.39,9.69,60.46,10.74,110.51,41.27,10.96,0.285586,28.0,34.25,32.77,27.94,32.88,32.49,33.37,30.14,34.12,31.81,30.7,30.56,36.42,35.15,0.03,3.81,0.21,39.54,41.38,18.67,42.99,0.78,9.27,21.91,1316.52002,29.190001,0.0,379.029999,661.210022,545.390015,250.161978
DOE Autogenerated 15,7a7b1c8c-a5c5-4b30-9aa4-adb25ff318f8,2020-06-30T21:20:54.396Z,2020-06-30T21:25:33.309Z,completed,completed normal,ESW,15.0,SAU_Riyadh.404380_IWEC.epw,0.4,53633.0,137.58,200.98,118.75,114.3,119.84,192.4,185.62,135.7,173.07,135.16,155.24,172.75,6.59,6.1,7.86,7.11,8.25,5.76,5.85,7.62,6.47,7.3,6.92,6.13,0.488163,31.33,35.06,31.45,30.04,32.22,32.78,33.65,34.71,35.04,32.87,33.64,32.56,32.29,34.1,33.56,35.99,39.57,31.6,30.57,36.76,32.03,38.9,44.18,38.06,1841.380005,482.149994,0.0,395.359985,81.959999,4.57,427.611405
DOE Autogenerated 12,7ab5790c-588a-4eb2-93ef-c0c9a32ff616,2020-06-30T21:20:53.978Z,2020-06-30T21:25:10.842Z,completed,completed normal,W,15.0,SAU_Riyadh.404380_IWEC.epw,0.4,53633.0,137.58,200.98,118.75,114.3,119.84,192.4,185.62,135.7,173.07,135.16,155.24,172.75,6.59,6.1,7.86,7.11,8.25,5.76,5.85,7.62,6.47,7.3,6.92,6.13,0.471772,31.33,35.06,31.45,30.04,32.22,32.78,33.65,34.71,35.04,32.87,33.64,32.56,9.87,11.37,6.64,8.43,7.7,11.53,11.74,10.1,11.77,7.81,10.48,10.64,1841.380005,482.149994,0.0,395.359985,81.959999,4.57,118.072216
DOE Autogenerated 369,7bfa602c-7b88-4096-9092-d59c3adf538a,2020-06-30T21:53:40.611Z,2020-06-30T21:57:30.603Z,completed,completed normal,N,20.0,USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,0.9,53633.0,98.32,115.31,129.71,109.39,128.41,118.54,113.07,114.44,106.39,122.84,113.4,101.79,28.81,9.91,216.2,136.6,203.32,9.39,9.69,94.01,10.64,173.11,69.79,13.97,0.061192,24.6,30.17,32.45,26.73,32.15,29.32,30.16,28.22,28.76,30.72,28.41,26.24,0.39,7.73,0.01,0.07,0.02,18.29,19.63,0.22,4.95,0.03,0.11,0.24,1371.609985,29.620001,0.1,347.920013,975.440002,859.619995,51.687036
DOE Autogenerated 365,7c1848a4-f7f1-43b3-bc1a-b2dcfe3758c8,2020-06-30T21:53:22.728Z,2020-06-30T21:57:05.301Z,completed,completed normal,ESW,15.0,USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,0.9,53633.0,99.25,116.2,129.2,109.51,128.04,118.36,113.11,115.32,107.36,122.6,114.13,103.35,25.82,9.92,211.18,118.45,191.5,9.37,9.67,73.64,10.6,156.38,56.48,13.4,0.261906,25.36,32.37,32.45,26.76,32.15,30.97,31.91,28.32,31.3,30.74,28.69,27.69,73.31,76.07,0.07,5.77,0.26,86.53,90.15,32.97,91.55,1.05,15.75,42.7,1376.430054,30.110001,0.1,358.690002,886.400024,770.580017,516.193045
DOE Autogenerated 450,7cbedc5f-2716-4f12-9a24-d45502f54ae7,2020-06-30T22:01:00.550Z,2020-06-30T22:03:50.002Z,completed,completed normal,ESW,50.0,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,0.9,53633.0,130.04,192.68,123.92,116.6,126.48,172.58,147.83,132.0,134.47,137.83,150.1,176.78,7.31,7.86,8.19,7.27,8.18,7.48,7.36,8.06,7.74,7.61,7.6,7.47,0.02076,24.63,27.46,26.95,24.74,27.51,25.61,26.24,27.83,27.4,27.48,26.91,25.72,2.87,2.69,3.11,2.34,5.34,2.39,2.3,2.95,2.09,8.17,2.63,4.05,1741.300049,310.709991,0.0,318.470001,92.129997,2.68,40.915761
DOE Autogenerated 388,7ccee72f-2280-4a50-ae83-14c466a1a282,2020-06-30T21:56:05.559Z,2020-06-30T22:00:06.273Z,completed,completed normal,S,40.0,USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,0.9,53633.0,107.21,127.3,142.13,119.93,140.65,135.71,128.48,124.75,117.37,134.52,122.69,109.95,21.3,9.75,197.7,113.09,180.73,9.4,9.7,69.54,10.46,148.58,53.03,11.97,0.066709,24.34,27.12,32.45,26.68,32.15,25.08,25.62,28.16,26.86,30.72,28.32,25.83,5.58,13.66,0.06,0.61,0.2,13.14,8.69,1.2,8.89,0.32,0.8,3.19,1510.680054,56.68,0.12,333.350006,835.25,719.429993,56.347236
DOE Autogenerated 113,7d85a780-82d4-4da0-bcf1-39abb1c68da6,2020-06-30T21:29:20.726Z,2020-06-30T21:32:01.258Z,completed,completed normal,S,15.0,USA_CA_San.Diego-Lindbergh.Field.722900_TMY3.epw,0.4,53633.0,108.23,146.28,108.06,100.8,110.54,133.49,122.93,114.31,116.94,115.22,121.48,134.93,7.36,7.81,8.17,7.3,8.29,7.46,7.44,8.17,7.81,7.66,7.64,7.43,0.532813,31.21,35.06,31.56,29.86,32.59,32.83,33.72,34.62,35.09,32.57,33.34,32.54,14.67,13.94,22.16,18.69,21.26,10.59,9.52,18.04,11.27,22.62,19.95,17.32,1433.22998,155.720001,0.0,394.980011,92.519997,3.08,200.024452
